State,County,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,income_2023.1,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,Church_persistence_index_3yr,Index_v2,z1890,z1990,index_1890_1990_raw,index_1890_1990
OH,GEAUGA,41113,65663,100783,100528,91284,100783,82.0,89.8,91.2,238.0,226,251,13489.0,81129,93389,95407,42.0,106,130,163,3.11,1.31,1.39,1.71,-0.770700730092613,-0.658816814611127,-0.6988289235535640,-0.3095238095238100,-1.0,-0.6547619047619050,-0.6513897344290280
OH,GREENE,35116,56679,85218,85864,78794,85218,82.4,91.7,94.5,295.0,219,275,29820.0,136731,161573,169691,100.0,126,181,187,3.35,0.92,1.12,1.1,-0.979711376113891,-0.945335266026423,-0.9506317911506050,-0.023809523809523800,-1.4588235294117600,-0.7413165266106440,-0.7166051930913140
OH,GUERNSEY,21143,37573,55756,51698,52234,55756,71.4,84.3,85.7,94.0,43,61,28645.0,39024,40087,38089,109.0,89,92,96,3.81,2.28,2.3,2.52,-0.0834741879621345,-0.0363445890493723,0.0118118122768268,0.5238095238095240,0.14117647058823500,0.33249299719887900,0.09246749552316080
OH,HAMILTON,29498,48234,70816,72127,67054,70816,75.6,87.7,92.5,2459.0,1471,1794,374573.0,866228,802374,827058,357.0,599,666,715,0.95,0.69,0.83,0.86,-0.979711376113891,-1.12084326786318,-1.4565676937581900,-2.88095238095238,-1.7294117647058800,-2.305182072829130,-1.8949155675623200
OH,HANCOCK,31897,49070,69699,77993,68217,69699,82.9,90.7,94.9,170.0,101,115,42563.0,65536,74782,74704,113.0,83,93,100,2.65,1.27,1.24,1.34,-0.979711376113891,-0.781895053625582,-0.8873500713497410,-0.8571428571428570,-1.0470588235294100,-0.9521008403361350,-0.8754227744614440
OH,HARDIN,24589,41343,58001,60124,57475,58001,74.0,86.2,91.7,46.0,30,40,28939.0,31111,32058,30368,87.0,74,74,71,3.01,2.38,2.31,2.34,-0.292484833983413,-0.0474073074083329,-0.1125731466255760,-0.4285714285714290,0.2588235294117640,-0.08487394957983220,-0.22200186825291000
OH,HARRISON,19943,35363,53851,48764,49161,53851,69.8,83.6,89.8,37.0,13,14,20830.0,16085,15864,14159,74.0,58,50,49,3.55,3.61,3.15,3.46,0.633411219496767,0.685598527486374,0.6851209804665380,0.21428571428571400,1.705882352941180,0.9600840336134450,0.5653323341408030
OH,HENRY,31032,48367,79267,75878,67239,79267,75.4,87.6,92.6,50.0,34,41,25080.0,29108,28215,27520,73.0,61,58,58,2.92,2.1,2.06,2.11,-0.292484833983413,-0.223235316464896,-0.2983274919378790,-0.5357142857142860,-0.0705882352941177,-0.3031512605042020,-0.3864651244425090
OH,HIGHLAND,21505,39844,62008,52583,55391,62008,66.5,80.0,86.9,69.0,50,43,29048.0,35728,43589,43614,110.0,84,105,96,3.79,2.35,2.41,2.2,-0.292484833983413,-0.059755265372376,-0.0175933696602068,0.5000000000000000,0.2235294117647060,0.3617647058823530,0.11452256164034200
OH,HOCKING,22727,39586,61366,55571,55032,61366,67.8,84.0,88.1,46.0,29,38,22658.0,25533,29380,27540,76.0,62,62,57,3.35,2.43,2.11,2.07,-0.292484833983413,-0.139964738659591,-0.1602928606157380,-0.023809523809523800,0.3176470588235290,0.1469187675070030,-0.04735529206183680
